id,source_location_id,target_location_id,distance_m,travel_time_mins,condition_score,penalty_weight
RD-UG-001,LOC-UG-21,LOC-UG-18,550.0,4,4.5,43
RD-UG-002,LOC-UG-18,LOC-UG-10,380.0,3,4.0,43
RD-UG-003,LOC-UG-10,LOC-UG-06,220.0,2,4.8,43
RD-UG-004,LOC-UG-06,LOC-UG-01,350.0,3,4.2,43
RD-UG-005,LOC-UG-01,LOC-UG-16,500.0,5,3.8,43
RD-UG-006,LOC-UG-16,LOC-UG-09,200.0,2,4.6,43
RD-UG-007,LOC-UG-01,LOC-UG-02,320.0,3,4.9,43
RD-UG-008,LOC-UG-02,LOC-UG-03,120.0,1,5.0,43
RD-UG-009,LOC-UG-03,LOC-UG-04,180.0,2,4.7,43
RD-UG-010,LOC-UG-04,LOC-UG-05,150.0,1,4.5,43
RD-UG-011,LOC-UG-01,LOC-UG-25,250.0,2,4.8,43
RD-UG-012,LOC-UG-25,LOC-UG-24,190.0,2,4.4,43
RD-UG-013,LOC-UG-25,LOC-UG-26,300.0,3,4.1,43
RD-UG-014,LOC-UG-26,LOC-UG-27,210.0,2,4.6,43
RD-UG-015,LOC-UG-27,LOC-UG-28,340.0,3,4.0,43
RD-UG-016,LOC-UG-06,LOC-UG-07,240.0,2,4.3,43
RD-UG-017,LOC-UG-07,LOC-UG-08,210.0,2,4.5,43
RD-UG-018,LOC-UG-08,LOC-UG-20,180.0,2,4.7,43
RD-UG-019,LOC-UG-20,LOC-UG-19,90.0,1,4.9,43
RD-UG-020,LOC-UG-19,LOC-UG-17,280.0,3,4.2,43
RD-UG-021,LOC-UG-21,LOC-UG-22,650.0,5,3.9,43
RD-UG-022,LOC-UG-22,LOC-UG-11,140.0,1,4.8,43
RD-UG-023,LOC-UG-11,LOC-UG-12,160.0,1,4.7,43
RD-UG-024,LOC-UG-12,LOC-UG-13,150.0,1,4.6,43
RD-UG-025,LOC-UG-13,LOC-UG-14,130.0,1,4.8,43
